date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:13	43/43	---M-Z	200	added ('OK')	text/plain	date:Sat,%2010%20Dec%202016%2012:41:32%20GMT	http://www.leisurehotels.co.in/robots.txt		(from )
00:33:13	49880/49880	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/index.html	(from )
00:33:13	304/304	---M-Z	302	error ('Found')	text/html	date:Mon,%2012%20Dec%202016%2019:14:56%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:14	58688/58688	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:14	40892/40892	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:14	48239/48239	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/spa-and-wellness/spa-and-wellness.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/spa-and-wellness/spa-and-wellness.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:15	43713/43713	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/recreational-activities.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/recreational-activities.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:15	44902/44902	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:16	40829/40829	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/plan-an-event/conference-hall.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/plan-an-event/conference-hall.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:16	85262/85262	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/gallery.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/gallery.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
